epoch,loss,iou,val_loss,val_iou
0,0.5987158219019572,0.12623000688894942,0.5847332351576022,0.020119176037681
1,0.46974342664082847,0.02242877550344504,,
2,0.4242998719215393,8.93096799841173e-05,,
3,0.38671943346659343,0.013679117989163938,,
4,0.35872503121693927,0.04148795725974151,,
5,0.3344484845797221,0.0960259888953423,0.3177703633541014,0.07485967645563942
6,0.31549517114957176,0.06961773214734245,,
7,0.3020735740661621,0.0827226713798593,,
8,0.2865287760893504,0.11814363107669605,,
9,0.27500971655050915,0.16843799523087105,,
10,0.2681577732165655,0.14419126932935675,0.2395460375440799,0.08164989813247643
11,0.25891467233498894,0.16650395321238365,,
12,0.2548693607250849,0.1872925297631306,,
13,0.253609632452329,0.13195831546153336,,
14,0.250569024682045,0.13738336377206842,,
15,0.24654576977094014,0.17337709020256845,0.22703296382252763,0.14224002306177314
16,0.24081857701142628,0.17896643703725157,,
17,0.23345267077287038,0.24400839732167512,,
18,0.2347376416126887,0.21200189734779154,,
19,0.23376618921756745,0.19001334817373283,,
20,0.22942246894041698,0.22915157830396188,0.21197840183731018,0.12843718704023416
21,0.21865632037321728,0.28528035250789247,,
22,0.22378502984841664,0.256117563620178,,
23,0.22276458243529002,0.2610781988249367,,
24,0.22010022799173992,0.2738082880451238,,
25,0.21959060529867808,0.2949455396657383,0.20890539121337054,0.35492601429550447
26,0.21617300311724344,0.3046032887632014,,
27,0.21645080049832663,0.28658567801183366,,
28,0.21135696868101755,0.3524957255058511,,
29,0.21106473704179127,0.3412159460180325,,
30,0.21087087194124857,0.3471731340500907,0.19557309308187748,0.21422695450741863
31,0.20904536147912342,0.3450232868861893,,
32,0.20558677812417347,0.3689004453168238,,
33,0.20768588383992512,0.34586805047539926,,
34,0.20761600931485494,0.37288603459444736,,
35,0.20246509710947672,0.38863899508932576,0.18537667393684387,0.38919710037250604
36,0.2024868220090866,0.3879981306482985,,
37,0.19353513816992443,0.42917345772952525,,
38,0.19263195196787516,0.41238279905429465,,
39,0.1988417516152064,0.4142049775899579,,
40,0.1948161800702413,0.41018846573914225,0.1814780654461403,0.38397443255915675
